,Estimator,Score Time (Mean),Number of features selected (K),Score Function,Fit Time (Mean),Dataset Name
56,SVC,0.2792670726776123,10,f_classif_wrapper,0.031914710998535156,bladderbatch
57,SVC,0.25457966327667236,10,RFE_wrapper,0.049367666244506836,bladderbatch
58,SVC,0.25432682037353516,10,relieff_wrapper,0.0413891077041626,bladderbatch
59,SVC,0.24385309219360352,10,relaxed_lasso_wrapper,0.03665816783905029,bladderbatch
60,SVC,0.24335730075836182,20,f_classif_wrapper,0.028423428535461426,bladderbatch
61,SVC,0.29273319244384766,20,RFE_wrapper,0.032413601875305176,bladderbatch
62,SVC,0.3216557502746582,20,relieff_wrapper,0.03889596462249756,bladderbatch
63,SVC,0.2984638214111328,20,relaxed_lasso_wrapper,0.03540515899658203,bladderbatch
64,SVC,0.25994575023651123,50,f_classif_wrapper,0.07829022407531738,bladderbatch
65,SVC,0.2742743492126465,50,RFE_wrapper,0.030916929244995117,bladderbatch
66,SVC,0.27726662158966064,50,relieff_wrapper,0.03141605854034424,bladderbatch
67,SVC,0.3465728759765625,50,relaxed_lasso_wrapper,0.039391517639160156,bladderbatch
68,SVC,0.3061807155609131,100,f_classif_wrapper,0.042386651039123535,bladderbatch
69,SVC,0.2662872076034546,100,RFE_wrapper,0.037899136543273926,bladderbatch
70,SVC,0.2433568239212036,100,relieff_wrapper,0.04488039016723633,bladderbatch
71,SVC,0.2932237386703491,100,relaxed_lasso_wrapper,0.03091716766357422,bladderbatch
72,RandomForestClassifier,0.32638871669769287,1,f_classif_wrapper,0.26904428005218506,bladderbatch
73,RandomForestClassifier,0.2840029001235962,1,RFE_wrapper,0.3236515522003174,bladderbatch
74,RandomForestClassifier,0.30744051933288574,1,relieff_wrapper,0.32190048694610596,bladderbatch
75,RandomForestClassifier,0.2685445547103882,1,relaxed_lasso_wrapper,0.32688724994659424,bladderbatch
76,RandomForestClassifier,0.29796576499938965,2,f_classif_wrapper,0.29572510719299316,bladderbatch
77,RandomForestClassifier,0.3204052448272705,2,RFE_wrapper,0.28849101066589355,bladderbatch
78,RandomForestClassifier,0.27352678775787354,2,relieff_wrapper,0.33237898349761963,bladderbatch
79,RandomForestClassifier,0.2879946231842041,2,relaxed_lasso_wrapper,0.2864964008331299,bladderbatch
80,RandomForestClassifier,0.3059452772140503,3,f_classif_wrapper,0.2652994394302368,bladderbatch
81,RandomForestClassifier,0.2922360897064209,3,RFE_wrapper,0.270285964012146,bladderbatch
82,RandomForestClassifier,0.378503680229187,3,relieff_wrapper,0.25159168243408203,bladderbatch
83,RandomForestClassifier,0.34010636806488037,3,relaxed_lasso_wrapper,0.29771244525909424,bladderbatch
84,RandomForestClassifier,0.26479995250701904,4,f_classif_wrapper,0.26106369495391846,bladderbatch
85,RandomForestClassifier,0.2964686155319214,4,RFE_wrapper,0.27602481842041016,bladderbatch
86,RandomForestClassifier,0.32588958740234375,4,relieff_wrapper,0.2236642837524414,bladderbatch
87,RandomForestClassifier,0.3854799270629883,4,relaxed_lasso_wrapper,0.282257080078125,bladderbatch
88,RandomForestClassifier,0.36902856826782227,5,f_classif_wrapper,0.24760007858276367,bladderbatch
89,RandomForestClassifier,0.3630448579788208,5,RFE_wrapper,0.2740285396575928,bladderbatch
90,RandomForestClassifier,0.33636200428009033,5,relieff_wrapper,0.2979651689529419,bladderbatch
91,RandomForestClassifier,0.3430980443954468,5,relaxed_lasso_wrapper,0.25457489490509033,bladderbatch
92,RandomForestClassifier,0.3401075601577759,10,f_classif_wrapper,0.3176666498184204,bladderbatch
93,RandomForestClassifier,0.32539308071136475,10,RFE_wrapper,0.3238948583602905,bladderbatch
94,RandomForestClassifier,0.29646992683410645,10,relieff_wrapper,0.35755932331085205,bladderbatch
95,RandomForestClassifier,0.3657923936843872,10,relaxed_lasso_wrapper,0.3238959312438965,bladderbatch
96,RandomForestClassifier,0.3286398649215698,20,f_classif_wrapper,0.3737618923187256,bladderbatch
97,RandomForestClassifier,0.309434175491333,20,RFE_wrapper,0.36254608631134033,bladderbatch
98,RandomForestClassifier,0.30494630336761475,20,relieff_wrapper,0.3575599193572998,bladderbatch
99,RandomForestClassifier,0.34334349632263184,20,relaxed_lasso_wrapper,0.2942298650741577,bladderbatch
100,RandomForestClassifier,0.35057854652404785,50,f_classif_wrapper,0.30470144748687744,bladderbatch
101,RandomForestClassifier,0.3181651830673218,50,RFE_wrapper,0.3483304977416992,bladderbatch
102,RandomForestClassifier,0.31392431259155273,50,relieff_wrapper,0.370025634765625,bladderbatch
103,RandomForestClassifier,0.3226548433303833,50,relaxed_lasso_wrapper,0.3650398254394531,bladderbatch
104,RandomForestClassifier,0.3800009489059448,100,f_classif_wrapper,0.2845025062561035,bladderbatch
105,RandomForestClassifier,0.33337080478668213,100,RFE_wrapper,0.373518705368042,bladderbatch
106,RandomForestClassifier,0.33811235427856445,100,relieff_wrapper,0.3194096088409424,bladderbatch
107,RandomForestClassifier,0.3752591609954834,100,relaxed_lasso_wrapper,0.3642880916595459,bladderbatch
108,LogisticRegression,0.32788538932800293,1,f_classif_wrapper,0.04886949062347412,bladderbatch
109,LogisticRegression,0.2483532428741455,1,RFE_wrapper,0.0608372688293457,bladderbatch
110,LogisticRegression,0.28674304485321045,1,relieff_wrapper,0.04214143753051758,bladderbatch
111,LogisticRegression,0.3431006669998169,1,relaxed_lasso_wrapper,0.03590381145477295,bladderbatch
112,LogisticRegression,0.3151756525039673,2,f_classif_wrapper,0.03041839599609375,bladderbatch
113,LogisticRegression,0.23986601829528809,2,RFE_wrapper,0.05984842777252197,bladderbatch
114,LogisticRegression,0.23737287521362305,2,relieff_wrapper,0.0633389949798584,bladderbatch
115,LogisticRegression,0.2416151762008667,2,relaxed_lasso_wrapper,0.038895606994628906,bladderbatch
116,LogisticRegression,0.2568202018737793,3,f_classif_wrapper,0.029674530029296875,bladderbatch
117,LogisticRegression,0.27128398418426514,3,RFE_wrapper,0.032916903495788574,bladderbatch
118,LogisticRegression,0.27029144763946533,3,relieff_wrapper,0.029919743537902832,bladderbatch
119,LogisticRegression,0.27801811695098877,3,relaxed_lasso_wrapper,0.05111396312713623,bladderbatch
120,LogisticRegression,0.26804447174072266,4,f_classif_wrapper,0.053611040115356445,bladderbatch
121,LogisticRegression,0.27003979682922363,4,RFE_wrapper,0.03141582012176514,bladderbatch
122,LogisticRegression,0.27502739429473877,4,relieff_wrapper,0.03839743137359619,bladderbatch
123,LogisticRegression,0.27477407455444336,4,relaxed_lasso_wrapper,0.06308531761169434,bladderbatch
124,LogisticRegression,0.32663583755493164,5,f_classif_wrapper,0.06682920455932617,bladderbatch
125,LogisticRegression,0.2874934673309326,5,RFE_wrapper,0.18950223922729492,bladderbatch
126,LogisticRegression,0.33885514736175537,5,relieff_wrapper,0.0760502815246582,bladderbatch
127,LogisticRegression,0.2810100317001343,5,relaxed_lasso_wrapper,0.05410909652709961,bladderbatch
