,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value,List of Selected Features Names,Selected Features scores
250,toy_example,80,44,f_classif_wrapper,KNeighborsClassifier(),15,Leave-one-out,2,ACC,0.703125,,
251,toy_example,80,44,RFE_wrapper,KNeighborsClassifier(),15,Leave-one-out,2,ACC,0.703125,,
252,toy_example,80,44,relieff_wrapper,KNeighborsClassifier(),15,Leave-one-out,2,ACC,0.734375,,
253,toy_example,80,44,relaxed_lasso_wrapper,KNeighborsClassifier(),15,Leave-one-out,2,ACC,,,
254,toy_example,80,44,mrmr_wrapper,KNeighborsClassifier(),15,Leave-one-out,2,ACC,0.671875,,
255,toy_example,80,44,f_classif_wrapper,KNeighborsClassifier(),20,Leave-one-out,2,ACC,0.71875,,
256,toy_example,80,44,RFE_wrapper,KNeighborsClassifier(),20,Leave-one-out,2,ACC,0.734375,,
257,toy_example,80,44,relieff_wrapper,KNeighborsClassifier(),20,Leave-one-out,2,ACC,0.703125,,
258,toy_example,80,44,relaxed_lasso_wrapper,KNeighborsClassifier(),20,Leave-one-out,2,ACC,,,
259,toy_example,80,44,mrmr_wrapper,KNeighborsClassifier(),20,Leave-one-out,2,ACC,0.78125,,
260,toy_example,80,44,f_classif_wrapper,KNeighborsClassifier(),30,Leave-one-out,2,ACC,0.765625,,
261,toy_example,80,44,RFE_wrapper,KNeighborsClassifier(),30,Leave-one-out,2,ACC,0.71875,,
262,toy_example,80,44,relieff_wrapper,KNeighborsClassifier(),30,Leave-one-out,2,ACC,0.765625,,
263,toy_example,80,44,relaxed_lasso_wrapper,KNeighborsClassifier(),30,Leave-one-out,2,ACC,,,
264,toy_example,80,44,mrmr_wrapper,KNeighborsClassifier(),30,Leave-one-out,2,ACC,0.734375,,
